Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
0;Nivel general;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
0;Nivel general;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
0;Nivel general;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
0;Nivel general;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
0;Nivel general;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
06;Salud;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
06;Salud;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
06;Salud;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
06;Salud;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
06;Salud;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
07;Transporte;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
07;Transporte;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
07;Transporte;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
07;Transporte;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
