"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
